n,p50,p95,p99,max,sla_ok
10,296.74495800281875,297.6949001535104,297.87268003427016,297.9171250044601,True
100,219.07897900382522,256.2709819012525,263.23468741036777,263.3233329979703,True
1000,236.83522949795588,393.0731940512487,565.3145163259614,593.0961249978282,True
